Run,Model,Model overall accuracy,Model loss,Number of images,Correct predictions,Incorrect predictions,Correct hollow,Correct other,Incorrect hollow,Incorrect other,Correct (%),Incorrect (%),Average inference time per image (ms)
0,Custom_512\Custom_model_512_run_0,0.9893617033958435,0.03778538107872009,470,465,5,180,285,0,5,98.94,1.06,2.8327651063829813
1,Custom_512\Custom_model_512_run_1,0.9680851101875305,0.16213639080524445,470,457,13,173,284,7,6,97.23,2.77,2.7175104255319185
10,Custom_512\Custom_model_512_run_10,0.9510638117790222,0.30166277289390564,470,447,23,160,287,20,3,95.11,4.89,2.8227255319148803
11,Custom_512\Custom_model_512_run_11,0.9744681119918823,0.10855168849229813,470,458,12,175,283,5,7,97.45,2.55,2.8725887234042573
12,Custom_512\Custom_model_512_run_12,0.978723406791687,0.08828332275152206,470,460,10,178,282,2,8,97.87,2.13,2.7785014893617186
13,Custom_512\Custom_model_512_run_13,0.978723406791687,0.08143417537212372,470,460,10,176,284,4,6,97.87,2.13,2.661172340425489
14,Custom_512\Custom_model_512_run_14,0.9829787015914917,0.04741988331079483,470,464,6,179,285,1,5,98.72,1.28,2.913512127659601
15,Custom_512\Custom_model_512_run_15,0.978723406791687,0.1498248130083084,470,460,10,180,280,0,10,97.87,2.13,2.8279825531915006
16,Custom_512\Custom_model_512_run_16,0.9851064085960388,0.05752125754952431,470,463,7,180,283,0,7,98.51,1.49,2.899972553191485
17,Custom_512\Custom_model_512_run_17,0.9765957593917847,0.08360934257507324,470,458,12,175,283,5,7,97.45,2.55,3.1576338297871556
18,Custom_512\Custom_model_512_run_18,0.9765957593917847,0.07959505170583725,470,460,10,175,285,5,5,97.87,2.13,2.8131842553191144
19,Custom_512\Custom_model_512_run_19,0.9170212745666504,0.28816819190979004,470,432,38,149,283,31,7,91.91,8.09,2.9841048936170766
2,Custom_512\Custom_model_512_run_2,0.9851064085960388,0.05628859996795654,470,464,6,178,286,2,4,98.72,1.28,2.7782304255319388
3,Custom_512\Custom_model_512_run_3,0.9829787015914917,0.05919721722602844,470,464,6,179,285,1,5,98.72,1.28,2.9895772340425797
4,Custom_512\Custom_model_512_run_4,0.9851064085960388,0.05625142902135849,470,464,6,179,285,1,5,98.72,1.28,2.845059361702189
5,Custom_512\Custom_model_512_run_5,0.9851064085960388,0.06960777193307877,470,464,6,180,284,0,6,98.72,1.28,2.861821276595865
6,Custom_512\Custom_model_512_run_6,0.9851064085960388,0.059501465409994125,470,465,5,180,285,0,5,98.94,1.06,3.0591165957447477
7,Custom_512\Custom_model_512_run_7,0.9404255151748657,0.26400095224380493,470,444,26,160,284,20,6,94.47,5.53,3.382684255319041
8,Custom_512\Custom_model_512_run_8,0.9851064085960388,0.05490824207663536,470,465,5,178,287,2,3,98.94,1.06,2.7949700000000175
9,Custom_512\Custom_model_512_run_9,0.9553191661834717,0.13699935376644135,470,457,13,174,283,6,7,97.23,2.77,2.902147021276786
